country,iso3c,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Oman,OMN,51.4932,59.7411,67.4368,70.6326,75.0283,79.3244,80.628,81.3599,84.3771,85.4259,82.166,87.7273,93.1054,95.7346
Pakistan,PAK,155.6566,155.2393,157.11,160.7989,169.2027,178.2841,196.7976,213.2958,202.3124,198.8407,222.5997,229.1366,235.3725,208.8895
Palau,PLW,2.1107,2.3697,3.6039,1.8243,1.2677,1.1954,1.1444,1.1964,1.2305,1.2683,1.2764,1.329,1.3981,1.3979
Panama,PAN,9.1798,9.9976,10.4475,10.2623,10.7719,10.6313,10.6644,10.1483,9.9261,13.1641,9.7127,10.7711,11.4431,12.7389
Papua New Guinea,PNG,4.2314,4.4692,4.2609,4.5767,5.5379,5.9739,6.621,5.7792,4.904,5.0364,5.4744,5.3867,5.5295,5.498
Paraguay,PRY,5.2439,5.451,5.4123,5.641,5.9499,6.661,7.5122,8.4688,8.7429,8.5218,7.8549,7.9771,8.0051,7.7424
Peru,PER,45.8483,49.1793,49.1215,50.3235,53.2525,54.9014,57.5009,55.2172,55.3468,58.1719,47.5328,59.6288,63.74,65.0789
Philippines,PHL,84.9688,84.5875,89.5021,97.4869,104.0134,113.1874,121.2972,135.646,141.3358,147.9244,136.3845,145.6114,151.7004,162.4527
Poland,POL,329.3834,326.9383,319.7269,315.0899,302.5703,305.7942,316.728,330.2221,329.6329,312.0707,296.8799,324.0123,307.9616,280.6501
Portugal,PRT,53.2485,51.3977,49.7787,48.1388,47.6708,51.7215,50.523,55.1436,51.1078,46.4279,40.6444,38.962,39.6684,37.4114
Qatar,QAT,72.2126,83.1847,92.3214,102.1334,110.7647,114.0841,114.0546,114.1057,114.8966,117.6635,115.3371,118.4421,120.1007,129.1964
Romania,ROU,83.3446,89.8189,87.6338,79.5312,78.9902,80.304,78.7065,81.7983,83.0019,81.1522,75.7011,80.7465,75.6755,70.2532
Russian Federation,RUS,1746.8968,1832.6123,1819.802,1764.2472,1750.1989,1757.1139,1734.6382,1763.2401,1831.1328,1858.002,1784.1991,1938.4596,1895.4729,1948.3024
Rwanda,RWA,0.7312,0.7618,0.8472,0.9431,0.9592,1.1072,1.2106,1.3115,1.4591,1.5151,1.4554,1.7066,2.2012,2.2883
Samoa,WSM,0.2631,0.2677,0.2681,0.2788,0.2865,0.3288,0.3542,0.3165,0.3447,0.3735,0.3132,0.3435,0.3324,0.3333
San Marino,SMR,,,,,,,,,,,,,,
Sao Tome and Principe,STP,0.1236,0.1273,0.1328,0.1334,0.1316,0.1407,0.1464,0.1491,0.1525,0.1591,0.1541,0.1583,0.1412,0.1456
Saudi Arabia,SAU,486.877,509.215,539.3427,547.1964,585.9278,611.4483,609.5099,603.3295,580.0429,579.8088,577.1045,590.321,620.4308,635.4338
Senegal,SEN,6.9781,7.479,7.3641,7.8409,8.3827,9.2184,10.2971,10.2029,10.7355,11.0288,10.8149,13.1241,14.5438,13.717
Serbia,SRB,,,,,,,,,,,,,,
Seychelles,SYC,0.917,0.7817,0.8866,0.8023,0.9261,0.9868,1.1003,1.1528,1.0053,0.8948,0.8388,0.7882,0.8424,0.8395
Sierra Leone,SLE,0.7103,0.8684,0.9744,1.1227,1.207,1.0224,1.0587,1.0446,1.2108,1.2073,1.2307,1.4724,1.4668,1.4104
Singapore,SGP,48.8859,51.3367,50.1515,52.6259,53.8631,55.1746,52.9724,56.8881,54.2117,55.8876,53.8768,55.7179,56.3467,56.1013
Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,
Slovak Republic,SVK,39.9112,37.8943,36.1064,36.3803,33.9902,34.526,35.4446,37.7288,37.2427,34.8074,32.6439,36.6483,33.1887,31.1483
Slovenia,SVN,17.1608,16.0793,15.517,15.511,14.126,14.2949,15.0187,15.3443,15.45,14.8261,13.5406,13.8601,13.3893,12.6186
Solomon Islands,SLB,0.3585,0.3728,0.3719,0.3931,0.3745,0.3336,0.3236,0.2919,0.3252,0.3193,0.3077,0.3326,0.299,0.2998
South Africa,ZAF,464.3532,443.9719,461.2756,475.0891,486.6007,462.2677,460.1959,469.5833,473.4182,477.5446,450.8617,448.5635,429.3281,427.2669
South Sudan,SSD,,,,,,,,,,,,,,
Spain,ESP,287.7519,289.521,284.9722,256.3568,255.241,271.5397,263.0479,278.3849,271.7891,254.3514,214.4546,233.1927,238.6544,220.9934
Sri Lanka,LKA,13.5184,15.908,17.8941,14.837,17.8805,19.7111,23.486,23.4107,21.9829,23.973,22.6144,22.8196,20.7971,21.5803
St. Kitts and Nevis,KNA,0.0987,0.0778,0.0798,0.091,0.0973,0.1019,0.1115,0.104,0.1111,0.1302,0.1196,0.1162,0.1301,0.1305
St. Lucia,LCA,0.1823,0.1412,0.1459,0.1667,0.1778,0.1824,0.1964,0.1963,0.2592,0.2947,0.2776,0.2822,0.2961,0.297
St. Martin (French part),MAF,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,0.097,0.069,0.0876,0.0825,0.0922,0.0951,0.1012,0.1091,0.1102,0.1165,0.1238,0.1174,0.1271,0.1275
